                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.6498,                 1.6575,                 1.6437,                0.65054,                   0.55,                0.64245,                0.26501,                  1.924,                 1.7274,                 1.7125,              0.0018733,              0.0018733,              0.0018733
                     35,                 1.6242,                 1.5652,                 1.6143,                0.79857,                0.68333,                0.74053,                0.32646,                 1.7672,                 1.6709,                  1.695,              0.0018693,              0.0018693,              0.0018693
                     36,                 1.5932,                 1.5276,                 1.6217,                0.49727,                0.63333,                0.55269,                0.24468,                 1.9913,                 1.7406,                 1.8401,              0.0018654,              0.0018654,              0.0018654
                     37,                 1.6392,                 1.5234,                 1.6467,                0.74727,                0.68333,                0.70749,                0.26933,                 2.0643,                 1.6062,                 1.8045,              0.0018614,              0.0018614,              0.0018614
                     38,                 1.5817,                 1.4703,                  1.596,                0.67203,                0.61474,                0.63554,                0.27858,                  1.892,                 1.6114,                  1.674,              0.0018574,              0.0018574,              0.0018574
                     39,                 1.6239,                 1.4797,                 1.6186,                0.76709,                0.66667,                0.67291,                0.30055,                 1.9414,                 1.7895,                 1.6874,              0.0018535,              0.0018535,              0.0018535
                     40,                  1.604,                 1.5024,                 1.6199,                0.64113,                0.71667,                0.66768,                0.29534,                 1.8307,                 1.8421,                 1.6668,              0.0018495,              0.0018495,              0.0018495
                     41,                 1.6153,                 1.5297,                  1.633,                0.72736,                0.62256,                0.67939,                0.26278,                 2.2606,                  1.845,                 2.0318,              0.0018456,              0.0018456,              0.0018456
                     42,                 1.6473,                 1.5241,                 1.6626,                0.72219,                0.66667,                0.69487,                0.32345,                 2.0311,                 2.0215,                 1.8513,              0.0018416,              0.0018416,              0.0018416
                     43,                 1.6271,                 1.5262,                 1.6542,                0.77975,                0.76667,                0.77124,                0.34852,                 2.0736,                 1.8439,                 1.8847,              0.0018376,              0.0018376,              0.0018376
                     44,                 1.5771,                 1.4684,                 1.6015,                0.76079,                0.68916,                0.70869,                0.28081,                 2.1165,                 2.0222,                 1.9606,              0.0018337,              0.0018337,              0.0018337
                     45,                 1.6429,                 1.5131,                 1.6724,                0.76158,                   0.65,                0.73965,                0.37035,                 1.8696,                  1.482,                 1.7837,              0.0018297,              0.0018297,              0.0018297
                     46,                 1.5593,                 1.4672,                 1.5847,                0.67951,                0.76667,                0.71502,                0.30306,                 1.9496,                 1.8626,                 1.7555,              0.0018258,              0.0018258,              0.0018258
                     47,                 1.5728,                 1.3659,                 1.5875,                0.66598,                0.76434,                 0.7226,                0.32168,                 2.1159,                 1.7505,                  1.879,              0.0018218,              0.0018218,              0.0018218
                     48,                 1.5713,                 1.4021,                 1.6074,                0.79954,                0.73124,                0.76624,                0.35273,                 1.9638,                 1.3648,                 1.8183,              0.0018178,              0.0018178,              0.0018178
                     49,                 1.5479,                 1.3578,                 1.5752,                0.74579,                   0.75,                0.77074,                0.36593,                 1.7262,                 1.5917,                 1.6632,              0.0018139,              0.0018139,              0.0018139
                     50,                 1.5407,                 1.3618,                 1.5652,                0.77429,                0.68615,                0.74067,                0.36373,                 1.9876,                 2.0027,                 1.7841,              0.0018099,              0.0018099,              0.0018099
                     51,                 1.5448,                  1.341,                 1.5697,                0.78799,                0.58333,                0.66559,                0.27668,                 1.8891,                 1.8525,                 1.7948,               0.001806,               0.001806,               0.001806
                     52,                 1.5548,                 1.3486,                 1.5827,                0.77488,                0.73333,                0.80447,                0.37446,                 2.0739,                 1.3541,                  1.863,               0.001802,               0.001802,               0.001802
                     53,                 1.5575,                 1.2838,                 1.5553,                0.67371,                0.75715,                0.69972,                0.30867,                 2.0681,                 1.5014,                 1.8323,               0.001798,               0.001798,               0.001798
                     54,                 1.5288,                  1.317,                 1.5212,                0.85857,                0.70832,                0.80832,                0.36177,                 1.9452,                 1.4054,                 1.7432,              0.0017941,              0.0017941,              0.0017941
                     55,                 1.5577,                 1.3649,                  1.549,                0.68913,                   0.75,                0.77451,                0.36266,                 2.0773,                 1.4096,                  1.762,              0.0017901,              0.0017901,              0.0017901
                     56,                  1.502,                 1.3036,                 1.5325,                0.84058,                0.70306,                0.77742,                0.35533,                  1.957,                 1.5516,                 1.7122,              0.0017862,              0.0017862,              0.0017862
                     57,                 1.5009,                 1.3255,                 1.5386,                0.82264,                   0.75,                0.77133,                0.35708,                 1.9385,                  1.565,                 1.6509,              0.0017822,              0.0017822,              0.0017822
                     58,                 1.4933,                 1.3019,                 1.5251,                0.85867,                0.68333,                0.80123,                0.38283,                 2.0283,                 1.3398,                 1.7324,              0.0017782,              0.0017782,              0.0017782
                     59,                 1.4881,                 1.2827,                 1.5353,                0.81478,                0.73333,                0.80912,                0.40559,                 2.1185,                 1.3175,                 1.8214,              0.0017743,              0.0017743,              0.0017743
                     60,                 1.5134,                 1.2557,                 1.5444,                0.87281,                0.68625,                0.78399,                0.34312,                 1.8965,                 1.5398,                 1.6402,              0.0017703,              0.0017703,              0.0017703
                     61,                 1.4891,                 1.2804,                  1.505,                0.86179,                   0.75,                0.83141,                0.42036,                 2.0522,                 1.2743,                  1.766,              0.0017664,              0.0017664,              0.0017664
                     62,                 1.4899,                 1.2546,                 1.5131,                0.80762,                0.76967,                0.79838,                0.34991,                 2.0518,                 1.3575,                 1.7308,              0.0017624,              0.0017624,              0.0017624
                     63,                 1.4904,                 1.2733,                 1.5261,                0.81298,                   0.75,                0.79737,                0.35392,                 2.0533,                 1.4147,                 1.7568,              0.0017584,              0.0017584,              0.0017584
                     64,                 1.4874,                 1.2742,                 1.5272,                0.78163,                   0.75,                0.79007,                0.35917,                 1.9291,                 1.3028,                 1.7408,              0.0017545,              0.0017545,              0.0017545
                     65,                 1.4708,                 1.2294,                 1.4955,                0.77376,                0.79805,                0.79075,                0.36848,                 1.9743,                 1.3643,                 1.7234,              0.0017505,              0.0017505,              0.0017505
                     66,                 1.4428,                 1.2034,                 1.4721,                0.81517,                   0.75,                0.81707,                0.41222,                 1.8263,                 1.5688,                 1.6957,              0.0017466,              0.0017466,              0.0017466
                     67,                  1.458,                 1.2336,                 1.4972,                 0.7853,                0.71667,                0.80382,                0.38278,                 1.7866,                 1.2815,                 1.6858,              0.0017426,              0.0017426,              0.0017426
                     68,                 1.4535,                  1.179,                 1.4881,                0.88144,                    0.7,                0.80945,                0.38407,                 2.0079,                  1.376,                  1.842,              0.0017386,              0.0017386,              0.0017386
                     69,                 1.4906,                 1.2225,                 1.5288,                0.74889,                0.78333,                0.81352,                0.33708,                 1.9434,                 1.3072,                 1.7602,              0.0017347,              0.0017347,              0.0017347
                     70,                 1.4226,                 1.1671,                 1.4703,                 0.7655,                   0.75,                0.79338,                0.38408,                 1.9269,                 1.4711,                 1.6942,              0.0017307,              0.0017307,              0.0017307
                     71,                 1.4457,                 1.2093,                 1.4977,                0.85472,                0.68333,                0.83229,                0.41287,                 1.9106,                 1.1827,                 1.6873,              0.0017268,              0.0017268,              0.0017268
                     72,                 1.4421,                 1.2172,                 1.4818,                0.69492,                0.76667,                0.78081,                0.38407,                 1.7737,                 1.7273,                 1.5941,              0.0017228,              0.0017228,              0.0017228
                     73,                 1.4389,                 1.1998,                 1.4811,                0.88519,                0.77107,                0.83661,                0.40864,                 1.8694,                 1.3403,                 1.6309,              0.0017188,              0.0017188,              0.0017188
                     74,                 1.4364,                 1.1653,                 1.4927,                0.75186,                0.85857,                0.82518,                0.39052,                 1.8238,                 1.3723,                 1.6775,              0.0017149,              0.0017149,              0.0017149
                     75,                 1.4173,                 1.1564,                 1.4717,                  0.886,                0.71667,                0.81043,                0.39004,                 1.8982,                 1.3442,                 1.6667,              0.0017109,              0.0017109,              0.0017109
                     76,                 1.4218,                 1.1787,                 1.4826,                  0.854,                    0.8,                0.84631,                 0.4449,                 1.8268,                 1.1432,                 1.6567,               0.001707,               0.001707,               0.001707
                     77,                 1.4355,                 1.1068,                 1.4793,                0.68727,                    0.7,                0.72904,                0.34341,                 1.8042,                 1.5211,                 1.5991,               0.001703,               0.001703,               0.001703
                     78,                 1.4174,                   1.15,                 1.4867,                0.83543,                0.76667,                0.83893,                0.40758,                 1.8853,                 1.2586,                  1.639,               0.001699,               0.001699,               0.001699
                     79,                 1.3896,                 1.0839,                 1.4516,                0.81529,                0.76667,                0.80916,                0.39237,                 1.7889,                 1.2114,                  1.647,              0.0016951,              0.0016951,              0.0016951
                     80,                 1.4156,                 1.1322,                 1.4808,                0.84195,                0.81667,                0.85747,                0.41384,                 1.8243,                  1.237,                 1.7284,              0.0016911,              0.0016911,              0.0016911
                     81,                  1.379,                 1.0591,                 1.4382,                0.87754,                0.71656,                 0.8242,                0.39396,                  2.021,                 1.3801,                 1.7613,              0.0016872,              0.0016872,              0.0016872
                     82,                 1.4015,                 1.0764,                  1.464,                0.79111,                   0.75,                0.79876,                0.38885,                 1.9025,                  1.611,                 1.6552,              0.0016832,              0.0016832,              0.0016832
                     83,                   1.36,                 1.0502,                 1.4194,                0.81059,                0.85596,                0.86412,                0.40923,                 1.8055,                 1.1326,                 1.6264,              0.0016792,              0.0016792,              0.0016792
                     84,                 1.3767,                 1.0813,                 1.4327,                0.79923,                0.81667,                0.85042,                0.41281,                 2.0532,                 1.2597,                 1.8088,              0.0016753,              0.0016753,              0.0016753
                     85,                 1.3682,                 1.0556,                 1.4304,                0.79036,                0.78333,                0.82492,                0.39288,                 1.9377,                 1.2021,                  1.678,              0.0016713,              0.0016713,              0.0016713
                     86,                 1.3564,                 1.0338,                  1.411,                0.87311,                0.83333,                0.86831,                0.41219,                 1.8402,                 1.2253,                 1.6135,              0.0016674,              0.0016674,              0.0016674
                     87,                 1.3532,                 1.0846,                 1.4263,                0.87917,                0.84892,                0.87682,                0.43645,                 1.8339,                 1.2111,                 1.6561,              0.0016634,              0.0016634,              0.0016634
                     88,                   1.34,                 1.0201,                 1.4274,                0.87877,                    0.8,                0.82843,                0.39783,                 1.9172,                 1.4996,                 1.6836,              0.0016594,              0.0016594,              0.0016594
                     89,                 1.3266,                0.99954,                 1.4108,                0.87627,                0.82635,                0.82776,                0.41908,                 1.8874,                 1.3701,                 1.6602,              0.0016555,              0.0016555,              0.0016555
                     90,                 1.3178,                 1.0274,                 1.3823,                0.87047,                    0.8,                  0.837,                0.37413,                 2.0916,                 1.0943,                 1.8809,              0.0016515,              0.0016515,              0.0016515
                     91,                 1.2863,                0.99055,                 1.3865,                0.79906,                0.79539,                0.83828,                0.40031,                 1.7184,                 1.1174,                 1.6494,              0.0016476,              0.0016476,              0.0016476
                     92,                 1.3312,                  1.003,                 1.3912,                0.85701,                0.83333,                0.87452,                0.41674,                 1.9272,                 1.1927,                 1.6661,              0.0016436,              0.0016436,              0.0016436
                     93,                 1.3081,                0.95523,                 1.3811,                0.81356,                0.78333,                0.85963,                0.39466,                 2.1404,                 1.1866,                 1.9371,              0.0016396,              0.0016396,              0.0016396
                     94,                 1.3268,                 1.0265,                 1.4107,                0.79194,                0.81667,                0.79708,                0.35982,                 2.0721,                 1.2407,                 1.9063,              0.0016357,              0.0016357,              0.0016357
                     95,                 1.3415,                 1.0261,                 1.4008,                0.90052,                0.73333,                0.85702,                0.41449,                  2.026,                 1.1164,                 1.7789,              0.0016317,              0.0016317,              0.0016317
                     96,                 1.2958,                0.97833,                 1.3633,                0.91309,                0.76667,                0.83676,                0.39603,                 1.9069,                 1.4425,                 1.6813,              0.0016278,              0.0016278,              0.0016278
                     97,                 1.3096,                0.98173,                 1.4142,                0.81357,                0.78333,                0.81987,                0.36127,                 2.1062,                 1.3138,                 1.9009,              0.0016238,              0.0016238,              0.0016238
                     98,                 1.2879,                0.98798,                  1.381,                 0.8952,                0.85429,                0.90408,                 0.4279,                 1.9219,                 1.1121,                 1.6464,              0.0016198,              0.0016198,              0.0016198
                     99,                 1.2672,                0.98895,                 1.3604,                0.86776,                0.76557,                0.88193,                0.42638,                 2.0821,                 1.0894,                  1.824,              0.0016159,              0.0016159,              0.0016159
                    100,                 1.3219,                0.98034,                 1.3936,                0.87153,                0.76667,                0.84442,                 0.3835,                 2.1318,                 1.0817,                 1.7839,              0.0016119,              0.0016119,              0.0016119
                    101,                 1.2506,                 0.9289,                 1.3571,                0.93187,                0.81667,                0.85061,                0.41184,                 1.9753,                 1.1247,                 1.7191,               0.001608,               0.001608,               0.001608
                    102,                 1.2722,                0.96131,                 1.3722,                 0.8743,                0.76667,                0.85804,                0.38397,                 2.0191,                 1.1839,                 1.8672,               0.001604,               0.001604,               0.001604
                    103,                 1.3043,                0.98601,                 1.3795,                  0.878,                0.81667,                0.86523,                0.39035,                 2.0318,                 1.2315,                 1.7946,                 0.0016,                 0.0016,                 0.0016
                    104,                 1.2869,                0.95257,                 1.3572,                0.80516,                   0.85,                0.84762,                  0.424,                  1.949,                 1.1591,                  1.774,              0.0015961,              0.0015961,              0.0015961
                    105,                 1.2452,                0.89963,                 1.3324,                0.94202,                0.81247,                0.88447,                0.44311,                 1.9521,                 1.0591,                 1.7169,              0.0015921,              0.0015921,              0.0015921
                    106,                 1.2466,                0.96693,                   1.35,                 0.8747,                0.81448,                0.88278,                0.45691,                 1.7628,                0.97255,                 1.5847,              0.0015882,              0.0015882,              0.0015882
                    107,                 1.2497,                0.90758,                 1.3459,                0.89622,                   0.75,                0.85423,                0.43837,                 1.8384,                 1.1419,                  1.681,              0.0015842,              0.0015842,              0.0015842
                    108,                 1.2119,                0.86284,                  1.334,                0.95913,                0.78232,                0.83537,                0.43839,                 1.8707,                 1.2937,                 1.8287,              0.0015802,              0.0015802,              0.0015802
                    109,                  1.223,                0.88422,                 1.3136,                0.81006,                0.85298,                0.87327,                0.42349,                 1.9839,                 1.3499,                 1.8309,              0.0015763,              0.0015763,              0.0015763
