                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8268,                 4.1156,                 4.2002,                0.00094,                0.27835,                0.00159,                0.00041,                 4.2889,                 4.7666,                 4.1387,             0.00065152,             0.00065152,             0.00065152
                      2,                 3.5135,                 3.9232,                 4.0023,                0.00173,                0.53608,                0.01696,                0.00427,                 3.9266,                 5.3315,                 4.3322,              0.0013051,              0.0013051,              0.0013051
                      3,                  3.212,                 3.7433,                 3.6767,                0.00115,                0.34021,                0.00185,                0.00041,                 4.0022,                 3.9438,                  3.972,              0.0019455,              0.0019455,              0.0019455
                      4,                 2.9039,                 3.5277,                 3.4156,                0.10098,                0.34021,                0.09412,                0.02957,                 2.6009,                 24.306,                 3.8635,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.8175,                 3.2712,                 3.2595,                0.06671,                0.21649,                0.03552,                0.01251,                 2.7622,                 15.757,                 3.3452,              0.0019406,              0.0019406,              0.0019406
                      6,                 2.8306,                 3.0822,                 3.1696,                0.13855,                0.35052,                0.14642,                0.03523,                 2.5198,                 22.617,                 3.0655,              0.0019208,              0.0019208,              0.0019208
                      7,                 2.7117,                 2.9451,                 3.1069,                0.06542,                0.29897,                0.05205,                0.01413,                 2.4189,                 7.6843,                 2.8502,               0.001901,               0.001901,               0.001901
                      8,                 2.6357,                 2.9082,                 3.0704,                0.25162,                0.29897,                 0.1752,                0.05272,                 2.2837,                 10.329,                  2.893,              0.0018812,              0.0018812,              0.0018812
                      9,                  2.559,                 2.8438,                  2.973,                0.23933,                0.24742,                0.17993,                0.06826,                 2.1421,                  6.015,                 2.6798,              0.0018614,              0.0018614,              0.0018614
                     10,                 2.5357,                 2.7764,                 2.9455,                0.20156,                0.42268,                  0.199,                0.06956,                 2.2448,                 2.9127,                 2.7062,              0.0018416,              0.0018416,              0.0018416
                     11,                 2.4951,                 2.7261,                 2.8816,                0.09228,                0.23711,                0.06417,                 0.0222,                 2.3059,                 3.2439,                 2.7889,              0.0018218,              0.0018218,              0.0018218
                     12,                 2.4313,                 2.5732,                 2.7761,                0.41346,                0.41237,                0.37103,                0.11646,                 2.2589,                 2.5495,                 2.5939,               0.001802,               0.001802,               0.001802
                     13,                 2.4417,                 2.6095,                 2.8101,                0.31767,                0.20619,                0.20059,                0.09009,                 2.2638,                  3.604,                 2.6218,              0.0017822,              0.0017822,              0.0017822
                     14,                 2.4421,                 2.5962,                 2.7669,                0.29579,                0.34021,                0.30719,                0.12263,                 2.1116,                 3.1521,                 2.5503,              0.0017624,              0.0017624,              0.0017624
                     15,                 2.3563,                 2.4852,                 2.7101,                0.18569,                0.23711,                0.10427,                0.03723,                 2.3675,                 6.5674,                 2.7231,              0.0017426,              0.0017426,              0.0017426
                     16,                 2.3264,                 2.4343,                 2.6258,                 0.3135,                0.35052,                0.27809,                0.09833,                 2.2077,                 2.5811,                 2.5357,              0.0017228,              0.0017228,              0.0017228
                     17,                 2.2964,                 2.3306,                 2.6018,                0.43683,                0.64948,                0.50077,                0.20761,                 2.0788,                 2.7308,                 2.4356,               0.001703,               0.001703,               0.001703
                     18,                 2.2057,                 2.3678,                 2.5786,                0.62567,                0.35052,                0.47342,                0.17048,                 2.2016,                 2.1161,                 2.4907,              0.0016832,              0.0016832,              0.0016832
                     19,                 2.1748,                 2.2025,                  2.535,                0.40661,                0.37113,                0.37644,                0.12439,                 2.2706,                 2.0722,                 2.5113,              0.0016634,              0.0016634,              0.0016634
                     20,                  2.219,                 2.1896,                 2.5689,                0.66542,                0.57412,                0.61954,                0.25156,                 2.0772,                 2.0041,                 2.4267,              0.0016436,              0.0016436,              0.0016436
                     21,                 2.1077,                 2.0912,                 2.4504,                0.44154,                0.45361,                 0.3986,                0.16271,                 2.2055,                 2.8545,                 2.4565,              0.0016238,              0.0016238,              0.0016238
                     22,                 2.0872,                 2.0698,                 2.4535,                0.57732,                0.75258,                0.64178,                 0.2608,                 1.9228,                 2.4456,                 2.3489,               0.001604,               0.001604,               0.001604
                     23,                 2.0532,                 1.9933,                 2.4334,                0.41872,                0.65351,                0.48455,                0.18746,                 1.9647,                 2.3554,                 2.3698,              0.0015842,              0.0015842,              0.0015842
                     24,                 2.0616,                 2.0192,                 2.3703,                0.53493,                0.71134,                0.58649,                0.23859,                 2.0029,                 2.1481,                 2.3802,              0.0015644,              0.0015644,              0.0015644
                     25,                 1.9719,                 1.8874,                 2.3779,                0.52394,                0.70103,                0.59375,                 0.2424,                 1.8495,                 2.0142,                 2.2519,              0.0015446,              0.0015446,              0.0015446
                     26,                 1.9854,                 1.8233,                 2.3378,                0.28556,                0.36082,                0.31858,                0.11352,                 2.0587,                  2.666,                 2.4152,              0.0015248,              0.0015248,              0.0015248
                     27,                 2.0009,                 1.8868,                 2.3716,                0.71273,                0.68041,                0.74003,                0.33546,                 1.8061,                 1.7983,                 2.1925,               0.001505,               0.001505,               0.001505
