                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3317,                0.97622,                 1.6004,                0.93286,                0.90722,                0.93413,                0.55034,                 1.4723,                0.91878,                 1.8186,              0.0017822,              0.0017822,              0.0017822
                     36,                 1.3265,                0.97618,                 1.5896,                0.91826,                0.92647,                0.96095,                0.58388,                 1.3415,                0.91364,                 1.6385,              0.0017756,              0.0017756,              0.0017756
                     37,                 1.2715,                0.99035,                 1.5666,                 0.9164,                 0.9041,                0.95672,                 0.5821,                 1.3863,                 0.8776,                 1.6686,               0.001769,               0.001769,               0.001769
                     38,                  1.296,                0.98864,                  1.573,                0.91205,                0.93814,                0.97267,                0.63033,                 1.2609,                0.78827,                 1.5104,              0.0017624,              0.0017624,              0.0017624
                     39,                 1.2556,                0.96108,                 1.5543,                0.93787,                0.94845,                0.97603,                 0.6229,                 1.2591,                0.82877,                 1.5192,              0.0017558,              0.0017558,              0.0017558
                     40,                 1.2092,                 0.9145,                 1.5271,                0.96523,                0.95876,                0.97188,                0.61764,                 1.2969,                0.77253,                  1.553,              0.0017492,              0.0017492,              0.0017492
                     41,                 1.2868,                 0.9736,                 1.5586,                0.87194,                0.90722,                0.93589,                0.54186,                 1.4974,                 1.0159,                  1.799,              0.0017426,              0.0017426,              0.0017426
                     42,                 1.3049,                0.95998,                 1.5963,                0.94772,                0.93452,                0.97028,                0.60109,                  1.405,                0.80799,                 1.6782,               0.001736,               0.001736,               0.001736
                     43,                  1.248,                0.92726,                 1.5681,                0.87062,                0.90191,                0.95055,                0.55914,                 1.4601,                0.91309,                 1.7237,              0.0017294,              0.0017294,              0.0017294
                     44,                  1.251,                0.94262,                 1.5749,                0.88606,                0.90722,                0.94735,                0.57621,                 1.3967,                0.87436,                 1.7624,              0.0017228,              0.0017228,              0.0017228
                     45,                 1.2415,                0.91266,                 1.5393,                0.95571,                0.88991,                0.95185,                0.58047,                  1.369,                0.87184,                 1.5787,              0.0017162,              0.0017162,              0.0017162
                     46,                 1.2371,                0.91118,                 1.5427,                0.90284,                0.95792,                0.97393,                0.63178,                 1.3318,                 0.8023,                 1.6448,              0.0017096,              0.0017096,              0.0017096
                     47,                 1.2273,                0.90529,                 1.5318,                0.94879,                0.86598,                0.96156,                 0.5971,                 1.3477,                0.79771,                 1.6466,               0.001703,               0.001703,               0.001703
                     48,                 1.2418,                0.93729,                 1.5443,                0.92078,                0.95865,                0.97441,                0.60237,                 1.3446,                 0.7794,                 1.6579,              0.0016964,              0.0016964,              0.0016964
                     49,                 1.2098,                0.91237,                 1.5184,                0.92917,                0.94672,                 0.9759,                0.61005,                 1.3344,                0.79862,                 1.5889,              0.0016898,              0.0016898,              0.0016898
                     50,                 1.1965,                0.91363,                 1.5255,                0.84247,                0.93729,                0.94293,                0.60595,                 1.3239,                0.78845,                 1.5686,              0.0016832,              0.0016832,              0.0016832
                     51,                 1.2035,                0.90276,                 1.5047,                0.94152,                0.94845,                0.97787,                0.61569,                 1.4258,                0.68507,                 1.6876,              0.0016766,              0.0016766,              0.0016766
                     52,                  1.216,                0.88635,                 1.5065,                 0.9073,                0.95876,                0.97068,                0.62378,                 1.2535,                0.76761,                 1.5361,                0.00167,                0.00167,                0.00167
                     53,                 1.1872,                0.89094,                 1.5056,                0.93092,                0.93814,                0.97858,                0.65504,                 1.2334,                 0.7622,                  1.511,              0.0016634,              0.0016634,              0.0016634
                     54,                 1.1941,                0.85424,                 1.4984,                0.95813,                0.94379,                 0.9708,                0.62174,                 1.3307,                0.76429,                 1.5603,              0.0016568,              0.0016568,              0.0016568
                     55,                 1.2192,                0.89417,                 1.5168,                0.92809,                0.93136,                0.96632,                0.60319,                 1.3529,                0.83974,                 1.6544,              0.0016502,              0.0016502,              0.0016502
                     56,                 1.1887,                0.85359,                 1.4883,                0.91582,                0.89691,                0.95097,                0.56504,                 1.4425,                 0.8127,                 1.7669,              0.0016436,              0.0016436,              0.0016436
                     57,                 1.1555,                0.84283,                 1.4656,                0.94656,                0.96907,                0.97473,                0.63637,                  1.253,                0.69403,                 1.5443,               0.001637,               0.001637,               0.001637
                     58,                 1.1876,                0.85184,                 1.4744,                0.90944,                0.91753,                0.96252,                0.59644,                  1.316,                0.85435,                 1.5923,              0.0016304,              0.0016304,              0.0016304
                     59,                 1.1554,                0.86961,                 1.4755,                0.93997,                0.97938,                0.98322,                0.59602,                 1.3749,                0.75593,                 1.6143,              0.0016238,              0.0016238,              0.0016238
                     60,                 1.1634,                0.86101,                 1.4493,                0.95745,                0.92787,                0.96786,                0.56866,                  1.388,                0.78623,                 1.6207,              0.0016172,              0.0016172,              0.0016172
                     61,                 1.2019,                 0.8536,                 1.4918,                0.91732,                0.91511,                0.96083,                  0.616,                 1.2996,                0.83316,                 1.6356,              0.0016106,              0.0016106,              0.0016106
                     62,                 1.1782,                 0.8732,                 1.4864,                0.95658,                 0.9084,                0.93789,                0.56309,                 1.4748,                0.87295,                 1.7455,               0.001604,               0.001604,               0.001604
                     63,                 1.2223,                0.87051,                 1.5201,                0.87511,                0.90722,                 0.9433,                0.58752,                 1.3656,                0.90994,                 1.6391,              0.0015974,              0.0015974,              0.0015974
                     64,                 1.2079,                0.83357,                 1.5264,                0.95857,                0.95407,                0.97811,                0.57905,                  1.312,                0.77992,                 1.5413,              0.0015908,              0.0015908,              0.0015908
                     65,                  1.223,                 0.8767,                 1.5059,                0.93837,                0.97938,                0.98304,                0.59109,                  1.382,                  0.749,                 1.7402,              0.0015842,              0.0015842,              0.0015842
                     66,                 1.2287,                0.90456,                 1.5333,                0.95782,                0.93641,                0.97587,                0.60381,                 1.3513,                0.72243,                  1.632,              0.0015776,              0.0015776,              0.0015776
                     67,                  1.183,                0.88018,                 1.4934,                 0.9708,                0.95876,                 0.9703,                0.64741,                 1.2471,                0.70637,                 1.5303,               0.001571,               0.001571,               0.001571
                     68,                 1.1472,                0.80689,                 1.4546,                0.93119,                0.97663,                0.98169,                0.61133,                 1.3065,                0.66638,                 1.5658,              0.0015644,              0.0015644,              0.0015644
                     69,                 1.1604,                0.85113,                 1.5029,                0.94938,                0.96669,                0.97706,                0.63514,                 1.2818,                0.68174,                 1.5508,              0.0015578,              0.0015578,              0.0015578
                     70,                 1.1062,                0.82235,                 1.4574,                0.91195,                0.89691,                0.96971,                0.64172,                 1.3206,                0.65645,                 1.6056,              0.0015512,              0.0015512,              0.0015512
                     71,                 1.1252,                0.82543,                 1.4486,                0.96633,                0.88766,                0.95556,                0.62662,                 1.3075,                0.73853,                 1.6172,              0.0015446,              0.0015446,              0.0015446
                     72,                 1.1348,                0.82644,                 1.4448,                0.89325,                0.94893,                0.96329,                0.64093,                  1.256,                0.80373,                 1.5999,               0.001538,               0.001538,               0.001538
                     73,                 1.1094,                0.81826,                  1.471,                0.86247,                0.90514,                0.91089,                0.55536,                 1.3805,                0.88586,                 1.6472,              0.0015314,              0.0015314,              0.0015314
                     74,                  1.131,                0.81428,                 1.4451,                0.93811,                0.93753,                0.97624,                0.62879,                 1.2847,                0.71373,                 1.5738,              0.0015248,              0.0015248,              0.0015248
                     75,                 1.1208,                0.81511,                 1.4354,                0.95863,                 0.9556,                0.98487,                0.65197,                 1.2229,                0.66375,                 1.5041,              0.0015182,              0.0015182,              0.0015182
                     76,                 1.1084,                0.81685,                 1.4522,                0.98885,                0.91444,                0.97219,                0.60462,                 1.3064,                0.67665,                  1.604,              0.0015116,              0.0015116,              0.0015116
                     77,                 1.1613,                0.85164,                 1.4702,                 0.8926,                0.93814,                0.96502,                 0.6194,                 1.3071,                0.73235,                  1.601,               0.001505,               0.001505,               0.001505
                     78,                 1.0992,                0.78502,                 1.4272,                0.89238,                0.94034,                0.97309,                0.62016,                 1.3275,                0.72426,                 1.6052,              0.0014984,              0.0014984,              0.0014984
                     79,                 1.1146,                0.79167,                 1.4411,                0.94923,                0.97938,                0.98324,                0.63106,                 1.2608,                0.70555,                 1.5347,              0.0014918,              0.0014918,              0.0014918
                     80,                 1.1301,                0.82345,                 1.4477,                 0.9792,                0.90722,                0.96805,                0.63719,                 1.2736,                0.65713,                 1.5423,              0.0014852,              0.0014852,              0.0014852
                     81,                  1.109,                0.79014,                 1.4222,                0.95657,                0.93814,                0.97408,                0.61367,                 1.2972,                0.67626,                 1.5632,              0.0014786,              0.0014786,              0.0014786
                     82,                 1.0935,                0.78299,                 1.4112,                0.92722,                0.89691,                0.96851,                0.58338,                 1.3905,                0.73558,                 1.6686,               0.001472,               0.001472,               0.001472
                     83,                 1.0734,                0.78396,                 1.4182,                0.94815,                0.94253,                0.98516,                 0.6131,                 1.3523,                0.70674,                 1.6741,              0.0014654,              0.0014654,              0.0014654
                     84,                 1.0973,                0.77631,                 1.4172,                0.94452,                0.96907,                0.98235,                 0.6401,                 1.3078,                0.65041,                  1.564,              0.0014588,              0.0014588,              0.0014588
                     85,                 1.0632,                0.76001,                 1.3943,                0.97224,                0.94845,                0.98614,                0.65646,                 1.2302,                0.68264,                 1.4884,              0.0014522,              0.0014522,              0.0014522
                     86,                 1.0869,                0.77978,                 1.4309,                0.96559,                0.93814,                0.98049,                0.63276,                 1.2714,                 0.7386,                 1.5778,              0.0014456,              0.0014456,              0.0014456
                     87,                  1.059,                0.76424,                 1.3936,                0.96503,                0.93814,                0.98256,                0.66658,                 1.1953,                0.63274,                 1.5023,               0.001439,               0.001439,               0.001439
                     88,                 1.1323,                0.80971,                 1.4494,                0.91738,                0.93814,                0.97478,                0.64577,                 1.2167,                0.69343,                 1.5052,              0.0014324,              0.0014324,              0.0014324
                     89,                 1.0905,                0.79301,                 1.4109,                0.95538,                0.95876,                0.98621,                 0.6483,                 1.1973,                0.62847,                 1.4874,              0.0014258,              0.0014258,              0.0014258
                     90,                 1.0936,                  0.766,                 1.3919,                0.94789,                0.95876,                0.97323,                0.62642,                 1.2913,                0.62516,                 1.5681,              0.0014192,              0.0014192,              0.0014192
                     91,                 1.0442,                0.74894,                 1.3817,                0.96615,                0.94845,                0.96236,                0.60899,                 1.3066,                0.73244,                 1.5845,              0.0014126,              0.0014126,              0.0014126
                     92,                  1.073,                0.77734,                 1.3945,                0.94578,                0.95876,                0.98736,                0.61387,                 1.3658,                0.66868,                 1.6713,               0.001406,               0.001406,               0.001406
                     93,                 1.0247,                0.76732,                 1.3952,                0.95867,                0.95643,                0.98289,                0.63823,                 1.2256,                0.60013,                 1.5133,              0.0013994,              0.0013994,              0.0013994
                     94,                 1.0653,                0.74292,                 1.3973,                0.95763,                0.98969,                0.98591,                 0.6306,                 1.2979,                0.60539,                 1.5346,              0.0013928,              0.0013928,              0.0013928
                     95,                 1.0045,                0.74845,                 1.3596,                 0.9891,                0.93562,                0.97167,                0.63217,                 1.3053,                0.69312,                 1.5735,              0.0013862,              0.0013862,              0.0013862
                     96,                 1.0314,                0.72092,                 1.3807,                0.97097,                0.95876,                0.98965,                0.69233,                 1.1222,                0.58954,                 1.4427,              0.0013796,              0.0013796,              0.0013796
                     97,                 1.0867,                0.73575,                 1.3844,                 0.9785,                0.93823,                0.97603,                0.63908,                 1.2573,                0.64024,                 1.5389,               0.001373,               0.001373,               0.001373
                     98,                 1.0239,                 0.7285,                 1.3615,                0.95768,                0.97938,                0.98864,                0.67405,                 1.1691,                0.64247,                 1.5027,              0.0013664,              0.0013664,              0.0013664
                     99,                  1.041,                0.75191,                 1.3555,                0.96783,                0.93048,                0.98821,                0.64747,                  1.255,                0.66965,                 1.5065,              0.0013598,              0.0013598,              0.0013598
                    100,                 1.0615,                0.76246,                 1.3773,                0.91975,                0.94523,                0.95161,                0.60011,                  1.343,                  0.704,                 1.6054,              0.0013532,              0.0013532,              0.0013532
                    101,                 1.0291,                0.74358,                 1.3492,                0.96545,                0.94845,                0.96559,                 0.6268,                 1.2762,                0.70554,                 1.5883,              0.0013466,              0.0013466,              0.0013466
                    102,                 1.0407,                0.74446,                 1.3986,                 0.9474,                0.92842,                0.97996,                0.65623,                 1.2008,                0.61778,                 1.4709,                0.00134,                0.00134,                0.00134
                    103,                 1.0549,                0.76228,                 1.3785,                0.94991,                0.97752,                 0.9817,                0.63044,                  1.323,                0.67705,                 1.5833,              0.0013334,              0.0013334,              0.0013334
                    104,                 1.0518,                0.77167,                 1.4043,                0.98778,                0.97938,                0.98758,                  0.671,                 1.2029,                0.61409,                 1.5294,              0.0013268,              0.0013268,              0.0013268
                    105,                 1.0499,                0.76459,                 1.3779,                0.96892,                0.96414,                0.98851,                0.66438,                 1.1757,                0.62004,                 1.5003,              0.0013202,              0.0013202,              0.0013202
                    106,                0.99833,                0.71899,                 1.3502,                0.95784,                0.93681,                0.96755,                0.64479,                 1.2307,                0.68404,                 1.5239,              0.0013136,              0.0013136,              0.0013136
                    107,                 1.0285,                0.76907,                 1.3713,                0.93948,                0.93814,                0.97326,                0.64024,                 1.2251,                0.63804,                 1.5311,               0.001307,               0.001307,               0.001307
                    108,                 1.0348,                 0.7643,                 1.3771,                0.95754,                0.98969,                0.99213,                0.65437,                 1.1958,                0.60395,                 1.5227,              0.0013004,              0.0013004,              0.0013004
                    109,                 1.0269,                0.72522,                 1.3639,                0.95014,                0.98223,                 0.9902,                0.66386,                 1.1924,                0.66385,                  1.495,              0.0012938,              0.0012938,              0.0012938
